mu,xi,sigma,q005,q095
93.444,-0.19399,8.9724,88.402,93.476
93.444,-0.18612,8.9831,88.276,93.469
93.444,-0.17824,8.9937,88.148,93.463
93.444,-0.17037,9.0043,88.016,93.459
93.444,-0.1625,9.0149,87.881,93.455
93.444,-0.15463,9.0254,87.743,93.452
93.444,-0.14676,9.036,87.601,93.45
93.444,-0.13889,9.0465,87.456,93.448
93.444,-0.13102,9.057,87.307,93.447
93.444,-0.12315,9.0674,87.155,93.446
93.444,-0.11528,9.0779,86.999,93.445
93.444,-0.10741,9.0883,86.838,93.445
93.444,-0.099535,9.0987,86.674,93.445
93.444,-0.091665,9.109,86.506,93.444
93.444,-0.083794,9.1194,86.334,93.444
93.444,-0.075923,9.1297,86.158,93.444
93.444,-0.068052,9.14,85.977,93.444
93.444,-0.060181,9.1503,85.792,93.444
93.565,-0.8394,8.0778,92.898,95.751
93.565,-0.83153,8.0902,92.881,95.728
93.565,-0.82366,8.1026,92.864,95.704
93.565,-0.81579,8.1149,92.846,95.68
93.565,-0.80792,8.1272,92.828,95.655
93.565,-0.80005,8.1395,92.809,95.631
93.565,-0.79217,8.1518,92.79,95.606
93.565,-0.7843,8.164,92.771,95.581
93.565,-0.77643,8.1763,92.751,95.555
93.565,-0.76856,8.1885,92.73,95.53
93.565,-0.76069,8.2006,92.709,95.504
93.565,-0.75282,8.2128,92.687,95.477
93.565,-0.74495,8.2249,92.665,95.451
93.565,-0.73708,8.237,92.643,95.424
93.565,-0.72921,8.2491,92.619,95.397
93.565,-0.72134,8.2612,92.596,95.37
93.565,-0.71347,8.2732,92.571,95.343
93.565,-0.70559,8.2853,92.546,95.315
93.565,-0.69772,8.2972,92.521,95.287
93.565,-0.68985,8.3092,92.494,95.259
93.565,-0.68198,8.3212,92.468,95.23
93.565,-0.67411,8.3331,92.44,95.202
93.565,-0.66624,8.345,92.412,95.173
93.565,-0.65837,8.3569,92.383,95.144
93.565,-0.6505,8.3687,92.353,95.115
93.565,-0.64263,8.3806,92.323,95.085
93.565,-0.63476,8.3924,92.291,95.055
93.565,-0.62689,8.4042,92.26,95.025
93.565,-0.61901,8.4159,92.227,94.995
93.565,-0.61114,8.4277,92.193,94.965
93.565,-0.60327,8.4394,92.159,94.934
93.565,-0.5954,8.4511,92.124,94.904
93.565,-0.58753,8.4628,92.087,94.873
93.565,-0.57966,8.4744,92.05,94.842
93.565,-0.57179,8.486,92.012,94.811
93.565,-0.56392,8.4976,91.973,94.779
93.565,-0.55605,8.5092,91.934,94.748
93.565,-0.54818,8.5208,91.893,94.717
93.565,-0.54031,8.5323,91.851,94.685
93.565,-0.53243,8.5438,91.808,94.653
93.565,-0.52456,8.5553,91.764,94.622
93.565,-0.51669,8.5668,91.719,94.59
93.565,-0.50882,8.5782,91.673,94.558
93.565,-0.50095,8.5896,91.625,94.526
93.565,-0.49308,8.601,91.577,94.495
93.565,-0.48521,8.6124,91.527,94.463
93.565,-0.47734,8.6237,91.476,94.431
93.565,-0.46947,8.6351,91.424,94.399
93.565,-0.4616,8.6464,91.37,94.368
93.565,-0.45373,8.6576,91.316,94.336
93.565,-0.44586,8.6689,91.259,94.305
93.565,-0.43798,8.6801,91.202,94.274
93.565,-0.43011,8.6914,91.143,94.243
93.565,-0.42224,8.7025,91.082,94.213
93.565,-0.41437,8.7137,91.02,94.182
93.565,-0.4065,8.7248,90.957,94.152
93.565,-0.39863,8.736,90.892,94.122
93.565,-0.39076,8.7471,90.825,94.093
93.565,-0.38289,8.7581,90.756,94.064
93.565,-0.37502,8.7692,90.686,94.035
93.565,-0.36715,8.7802,90.615,94.007
93.565,-0.35928,8.7912,90.541,93.98
93.565,-0.3514,8.8022,90.466,93.953
93.565,-0.34353,8.8131,90.388,93.927
93.565,-0.33566,8.8241,90.309,93.901
93.565,-0.32779,8.835,90.228,93.876
93.565,-0.31992,8.8459,90.145,93.852
93.565,-0.31205,8.8567,90.06,93.828
93.565,-0.30418,8.8676,89.972,93.806
93.565,-0.29631,8.8784,89.883,93.784
93.565,-0.28844,8.8892,89.791,93.763
93.565,-0.28057,8.9,89.697,93.743
93.565,-0.2727,8.9107,89.601,93.725
93.565,-0.26482,8.9215,89.502,93.707
93.565,-0.25695,8.9322,89.401,93.69
93.565,-0.24908,8.9428,89.298,93.674
93.565,-0.24121,8.9535,89.192,93.66
93.565,-0.23334,8.9641,89.083,93.647
93.565,-0.22547,8.9747,88.971,93.634
93.565,-0.2176,8.9853,88.857,93.623
93.565,-0.20973,8.9959,88.74,93.613
93.565,-0.20186,9.0064,88.62,93.604
93.565,-0.19399,9.017,88.497,93.597
93.565,-0.18612,9.0274,88.371,93.59
93.565,-0.17824,9.0379,88.242,93.584
93.565,-0.17037,9.0484,88.11,93.58
93.565,-0.1625,9.0588,87.975,93.576
93.565,-0.15463,9.0692,87.836,93.573
93.565,-0.14676,9.0796,87.694,93.57
93.565,-0.13889,9.0899,87.548,93.569
93.565,-0.13102,9.1003,87.399,93.567
93.565,-0.12315,9.1106,87.246,93.566
93.565,-0.11528,9.1209,87.089,93.566
93.565,-0.10741,9.1311,86.928,93.566
93.565,-0.099535,9.1414,86.764,93.565
93.565,-0.091665,9.1516,86.595,93.565
93.565,-0.083794,9.1618,86.422,93.565
93.565,-0.075923,9.172,86.245,93.565
93.565,-0.068052,9.1821,86.064,93.565
93.565,-0.060181,9.1922,85.878,93.565
93.686,-0.8394,8.1347,93.014,95.887
93.686,-0.83153,8.1469,92.997,95.863
93.686,-0.82366,8.1591,92.979,95.839
93.686,-0.81579,8.1713,92.962,95.815
93.686,-0.80792,8.1835,92.943,95.791
93.686,-0.80005,8.1956,92.925,95.766
93.686,-0.79217,8.2077,92.906,95.741
